Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-1.96,-2.96
,,
,,
,,
Label,,
TIME,CH1,CH2
1.520e-03,0.45625,0.410469
1.540e-03,0.622812,0.550234
1.560e-03,0.78375,0.701641
1.580e-03,0.946875,0.861641
1.600e-03,1.15344,1.04164
1.620e-03,1.34469,1.24016
1.640e-03,1.55375,1.43211
1.660e-03,1.80687,1.64367
1.680e-03,2.05406,1.86445
1.700e-03,2.31094,2.09922
1.720e-03,2.57625,2.33234
1.740e-03,2.86719,2.52336
1.760e-03,3.15813,2.54508
1.780e-03,3.4525,2.54188
1.800e-03,3.73469,2.52937
1.820e-03,3.99125,2.52562
1.840e-03,4.28625,2.52664
1.860e-03,4.59344,2.5193
1.880e-03,4.92219,2.51977
1.900e-03,5.23813,2.52094
1.920e-03,5.54906,2.51922
1.940e-03,5.86531,2.51562
1.960e-03,6.17437,2.52203
1.980e-03,6.45594,2.51953
2.000e-03,6.75938,2.52266
2.020e-03,7.04063,2.52234
2.040e-03,7.33875,2.51703
2.060e-03,7.60375,2.51781
2.080e-03,7.85812,2.52375
2.100e-03,8.11781,2.52305
2.120e-03,8.36375,2.52297
2.140e-03,8.57875,2.52227
2.160e-03,8.78063,2.52844
2.180e-03,8.98313,2.53406
2.200e-03,9.12312,2.52953
2.220e-03,9.26875,2.53703
2.240e-03,9.43156,2.54039
2.260e-03,9.55156,2.53453
2.280e-03,9.65437,2.53883
2.300e-03,9.73719,2.53672
2.320e-03,9.82562,2.53773
2.340e-03,9.86094,2.53859
2.360e-03,9.90844,2.54312
2.380e-03,9.88812,2.54531
2.400e-03,9.90844,2.55055
2.420e-03,9.87531,2.54852
2.440e-03,9.80719,2.54992
2.460e-03,9.75313,2.55039
2.480e-03,9.65281,2.55531
2.500e-03,9.54719,2.55672
2.520e-03,9.41344,2.55336
2.540e-03,9.27313,2.55375
2.560e-03,9.14,2.55805
2.580e-03,8.98031,2.55344
2.600e-03,8.81031,2.55883
2.620e-03,8.57313,2.55961
2.640e-03,8.36313,2.56023
2.660e-03,8.11688,2.56391
2.680e-03,7.87125,2.55617
2.700e-03,7.60531,2.56094
2.720e-03,7.32687,2.55922
2.740e-03,7.03875,2.55805
2.760e-03,6.74656,2.55969
2.780e-03,6.45281,2.5607
2.800e-03,6.16219,2.56203
2.820e-03,5.85688,2.56164
2.840e-03,5.55563,2.55422
2.860e-03,5.2275,2.55578
2.880e-03,4.91219,2.55641
2.900e-03,4.58375,2.55328
2.920e-03,4.28219,2.55414
2.940e-03,3.99094,2.54766
